n,,_MIN_,_MAX_,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
19,% d'occupation,0,92,67,82,70,83,74,77,56,62,90,92,78,55,67,82,70,83,74,77,56,62,90,92,78,55
18,duree du sejour,1,,1.65,1.71,1.65,1.91,1.9,2,1.54,1.6,1.73,1.82,1.66,1.44,1.65,1.71,1.65,1.91,1.9,2,1.54,1.6,1.73,1.82,1.66,1.44
20,foires,0,,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1
8,businessmen,0,87,78,80,85,86,85,87,70,76,87,85,87,80,78,80,85,86,85,87,70,76,87,85,87,80
11,reservation agences,0,27,20,18,19,17,27,27,19,19,26,27,21,15,20,18,19,17,27,27,19,19,26,27,21,15
4,amerique sud,0,12,0,0,0,0,8,6,6,4,2,12,0,0,0,0,0,0,8,6,6,4,2,12,0,0
12,equipages aeriens,0,15,10,12,6,9,4,5,7,6,6,5,15,10,10,12,6,9,4,5,7,6,6,5,15,10
13,clients moins de 20 ans,0,5,2,2,4,2,2,1,1,2,2,4,2,5,2,2,4,2,2,1,1,2,2,4,2,5
16,clients plus de 55 ans,0,25,25,22,17,15,19,19,19,19,19,20,19,22,25,22,17,15,19,19,19,19,19,20,19,22
14,clients de 20-35 ans,0,37,25,27,37,35,25,25,27,28,24,30,24,30,25,27,37,35,25,25,27,28,24,30,24,30
1,clientele feminine,0,40,26,21,26,28,20,20,20,20,20,40,15,40,26,21,26,28,20,20,20,20,20,40,15,40
2,clientele locale,0,77,69,70,77,71,37,36,39,39,55,60,68,72,69,70,77,71,37,36,39,39,55,60,68,72
7,asie,0,13,3,10,6,0,3,13,8,9,5,2,5,2,3,10,6,0,3,13,8,9,5,2,5,2
9,touristes,0,30,22,20,15,14,15,13,30,24,13,15,13,20,22,20,15,14,15,13,30,24,13,15,13,20
10,reservation directe,0,75,70,70,75,74,69,68,74,75,68,68,64,75,70,70,75,74,69,68,74,75,68,68,64,75
17,prix des chambres,140,,163,167,166,174,152,155,145,170,157,174,165,158,163,167,166,174,152,155,145,170,157,174,165,158
6,"moyen orient, afrique",0,8,1,0,0,8,6,4,6,4,2,1,0,1,1,0,0,8,6,4,6,4,2,1,0,1
3,USA,0,23,7,6,3,6,23,14,19,14,9,6,8,8,7,6,3,6,23,14,19,14,9,6,8,8
5,europe,0,30,20,15,14,15,23,27,22,30,27,19,19,17,20,15,14,15,23,27,22,30,27,19,19,17
15,clients de 35-55 ans,0,55,48,49,42,48,54,55,53,51,55,46,55,43,48,49,42,48,54,55,53,51,55,46,55,43