Situation,_MIN_,_MAX_,Class,Date,Bus,Family dinner,Park,Church,Job interview,Sidewalk,Movies,Bar,Elevator,Restroom,Own room,Dorm lounge,Football game
Run,0,10,2.52,5,1.44,2.56,7.94,1.38,1.94,5.58,2.46,1.96,1.63,2.83,6.15,4.4,4.12
Talk,0,10,6.21,8.56,8.08,8.52,8.42,3.29,8.46,8.19,4.98,8.25,7.4,7.25,8.58,7.88,8.08
Kiss,0,10,2.1,8.73,4.27,4.92,7.71,2.38,1.08,4.75,6.21,5.17,4.79,2.81,8.52,6.54,5.08
Write,0,10,8.17,3.62,4.87,2.58,7,2.85,4.85,3.38,2.73,5.38,3.04,3.46,8.29,7.73,4.56
Eat,0,10,4.23,7.79,5.48,8.44,8.13,1.38,1.73,4.83,7.48,7.67,5.1,2.35,7.94,7.19,8.04
Sleep,0,10,3.6,3.77,7.04,2.29,5.63,1.77,0.75,1.46,4.08,2.9,1.31,2.83,8.85,6.08,2.98
Mumble,0,10,3.62,3.12,5.17,2.54,5.4,3.52,1.31,4.96,4.13,6.21,5.12,5.04,7.67,5.5,5.23
Read,0,10,7.27,2.88,7.17,3.96,7.77,3.58,2.48,4.81,1.73,4.71,4.48,4.75,8.58,8.56,3.69
Fight,0,10,1.21,3.58,1.52,1.67,3.06,0.62,1.04,1.46,1.37,1.9,1.58,1.77,4.25,2.4,2.04
Belch,0,10,1.77,2.23,2.15,2.5,5,1.42,1.21,2.81,2.58,5.04,2.54,5.12,6.81,4,3.85
Argue,0,10,5.33,4.5,4.17,3.25,5.06,1.92,1.83,4.08,1.71,4.31,2.58,3.48,7.52,4.88,4.98
Jump,0,10,1.79,4.42,3.12,2.29,7.42,1.71,1.48,3.54,2.31,3.75,2.12,3.65,6.73,4.58,7.12
Cry,0,10,2.21,3.04,3.08,3.21,5.21,3.13,1.37,3.71,7.15,3.44,3.48,4.79,8,3.88,4.31
Laugh,0,10,6.23,8,7.1,7.13,8.1,2.6,5.88,7.4,7.94,8.23,6.77,5.9,8.17,7.75,7.9
Shout,0,10,1.94,3.79,3,1.96,6.92,1.33,1.65,4.88,2.42,4.13,1.73,3.52,6.44,3.6,7.94